Version,Gay

word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet
gross,Test2,I,Bad,0.04806519,0,0,62
queer,Test2,I,Gay,0.2733917,1,0.07341003,63
perverted,Test2,I,Bad,0.2231598,1,0.0879364,64
disgusting,Test2,I,Bad,0.175705,1,0.0402832,65
evil,Test2,I,Bad,0.2323456,1,0.09568787,66
LGBT,Test2,I,Gay,0.201004,1,0.07356262,67
LGBT,Test2,I,Gay,0.183075,1,0.05641174,68



Version,Straight,2

testNumber,word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet,firstErrorTime
sciat1,immoral,Practice1,I,Bad,0.3558693,0,0,0,0
sciat1,perverted,Practice1,I,Bad,0.2523804,1,0.08693695,1,0.1654434
sciat1,shameful,Practice1,I,Bad,0.2150612,1,0.1067696,2,0.1082916
sciat1,disgusting,Practice1,I,Bad,0.1565628,1,0.07878494,3,0.07777786
sciat1,lesbianism,Practice1,E,Gay,0.09860992,0,0,4,0
sciat1,wonderful,Practice1,E,Good,0.1774178,1,0.1156158,5,0.06180191
sciat1,LGBT,Practice1,E,Gay,0.1732063,1,0.1175575,6,0.0556488
sciat1,pleasant,Practice1,E,Good,0.1554718,1,0.1026192,7,0.05285263
sciat1,lovely,Practice1,E,Good,0.1926994,1,0.1064644,8,0.08623505
sciat1,great,Practice1,E,Good,0.1709671,1,0.1002197,9,0.07074738
sciat1,lesbian,Practice1,E,Gay,0.1701508,1,0.1035233,10,0.0666275
sciat1,bisexuality,Practice1,E,Gay,0.17173,1,0.1054764,11,0.06625366
sciat1,queer,Practice1,E,Gay,0.1913185,1,0.1157379,12,0.0755806
sciat1,enjoyable,Practice1,E,Good,0.1811523,1,0.1250763,13,0.05607605
sciat1,beautiful,Practice1,E,Good,0.1747284,1,0.1337776,14,0.04095078
sciat1,bisexual,Practice1,E,Gay,0.1850777,1,0.1286926,15,0.05638504
sciat1,gay,Practice1,E,Gay,0.1780128,1,0.1153984,16,0.06261444
sciat1,awful,Practice1,I,Bad,0.04407501,0,0,17,0
sciat1,homosexuality,Practice1,E,Gay,0.1274796,0,0,18,0
sciat1,delightful,Practice1,E,Good,0.1701241,1,0.1319275,19,0.03819656
sciat1,evil,Practice1,I,Bad,0.05425262,0,0,20,0
sciat1,amazing,Practice1,E,Good,0.1337891,0,0,21,0
sciat1,gross,Practice1,I,Bad,0.03448868,0,0,22,0

Version,Straight,2

testNumber,word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet,firstErrorTime
sciat1,homosexuality,Practice1,E,Gay,0.1469454,0,0,0,0
sciat1,enjoyable,Practice1,E,Good,0.197716,1,0.1088178,1,0.08889818
sciat1,pleasant,Practice1,E,Good,0.1908915,1,0.1239429,2,0.06694865
sciat1,lesbianism,Practice1,E,Gay,0.1714077,1,0.1117871,3,0.05962062
sciat1,gay,Practice1,E,Gay,0.1609302,1,0.1011248,4,0.05980539
sciat1,perverted,Practice1,I,Bad,0.07410622,0,0,5,0
sciat1,awful,Practice1,I,Bad,0.1691711,1,0.06318688,6,0.1059842
sciat1,gross,Practice1,I,Bad,0.1794245,1,0.06378388,7,0.1156406
sciat1,immoral,Practice1,I,Bad,0.1728518,1,0.05349731,8,0.1193545
sciat1,disgusting,Practice1,I,Bad,0.1812568,1,0.0483458,9,0.132911
sciat1,great,Practice1,E,Good,0.1853356,0,0,10,0
sciat1,wonderful,Practice1,E,Good,0.5152142,3,0.1356549,11,0.004429579
sciat1,lovely,Practice1,E,Good,0.2185383,1,0.1533179,12,0.06522036
sciat1,queer,Practice1,E,Gay,0.2004251,1,0.1570625,13,0.04336262
sciat1,shameful,Practice1,I,Bad,0.02545691,0,0,14,0
sciat1,amazing,Practice1,E,Good,0.1513438,0,0,15,0
sciat1,bisexual,Practice1,E,Gay,0.177227,1,0.1451941,16,0.03203297
sciat1,bisexuality,Practice1,E,Gay,0.1753697,1,0.1261096,17,0.04926014
sciat1,lesbian,Practice1,E,Gay,0.1844387,1,0.1161609,18,0.06827784
sciat1,evil,Practice1,I,Bad,0.06766653,0,0,19,0
sciat1,beautiful,Practice1,E,Good,0.1293917,0,0,20,0
sciat1,delightful,Practice1,E,Good,0.1865435,1,0.1271896,21,0.05935383
sciat1,LGBT,Practice1,E,Gay,0.174583,1,0.1183162,22,0.05626678

testNumber,word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet,firstErrorTime
sciat1,evil,Test1,I,Bad,0.07475519,0,0,0,0
sciat1,amazing,Test1,E,Good,0.1055756,0,0,1,0
sciat1,pleasant,Test1,E,Good,0.2136674,1,0.1161637,2,0.09750366
sciat1,shameful,Test1,I,Bad,0.05961847,0,0,3,0
sciat1,homosexuality,Test1,E,Gay,0.1317158,0,0,4,0
sciat1,disgusting,Test1,I,Bad,0.0479598,0,0,5,0
sciat1,lovely,Test1,E,Good,0.1304483,0,0,6,0
sciat1,enjoyable,Test1,E,Good,0.1789494,1,0.1053677,7,0.0735817
sciat1,gay,Test1,E,Gay,0.2012472,1,0.1115808,8,0.08966637
sciat1,gross,Test1,I,Bad,0.08717251,0,0,9,0
sciat1,awful,Test1,I,Bad,0.1926131,1,0.07794094,10,0.1146722
sciat1,gross,Test1,I,Bad,0.1862178,1,0.07000446,11,0.1162133
sciat1,shameful,Test1,I,Bad,0.1710944,1,0.0308032,12,0.1402912
sciat1,queer,Test1,E,Gay,0.1563649,0,0,13,0
sciat1,bisexuality,Test1,E,Gay,0.1934376,1,0.1336555,14,0.05978203
sciat1,gross,Test1,I,Bad,0.06291008,0,0,15,0
sciat1,bisexuality,Test1,E,Gay,0.1232967,0,0,16,0
sciat1,evil,Test1,I,Bad,0.06636238,0,0,17,0
sciat1,lesbian,Test1,E,Gay,0.1333838,0,0,18,0
sciat1,beautiful,Test1,E,Good,0.1881294,1,0.1331444,19,0.05498505
sciat1,wonderful,Test1,E,Good,0.1798248,1,0.1236591,20,0.0561657
sciat1,lesbianism,Test1,E,Gay,0.1936417,1,0.1311712,21,0.06247044
sciat1,beautiful,Test1,E,Good,0.1851969,1,0.1152925,22,0.06990433
sciat1,perverted,Test1,I,Bad,0.07393074,0,0,23,0
sciat1,awful,Test1,I,Bad,0.1896591,1,0.08520222,24,0.1044569
sciat1,wonderful,Test1,E,Good,0.1104736,0,0,25,0
sciat1,enjoyable,Test1,E,Good,0.2128477,1,0.1428175,26,0.07003021
sciat1,LGBT,Test1,E,Gay,0.2152624,1,0.1526604,27,0.06260204
